#IID	SEX	uncorrected	lat	long	PC	Tvec_Lat	Tvec_Long
HGDP00894		-118.353303979222	-100.804078040063	11.2386264843575	2.88475608733354	13.2129032258065	26.4838709677419
HGDP00895		-114.872923758678	-107.779049162657	9.74978940398234	-2.89799857072605	13.2129032258065	26.4838709677419
HGDP00896		-117.828515612736	-117.516243258339	19.3303997003934	6.27601537691307	13.2129032258065	26.4838709677419
HGDP00897		-100.903147679419	-87.5248337181643	2.10724787526728	-5.12506519020657	13.2129032258065	26.4838709677419
HGDP00898		-128.555663096393	-116.37450117741	0.169300026663372	-4.57284306795143	13.2129032258065	26.4838709677419
HGDP00899		-116.494629759167	-100.042924405304	1.16087329058321	-1.24718707356809	13.2129032258065	26.4838709677419
HGDP00900		-37.4367769068535	-28.9016126089462	10.6514337115793	0.929160698105126	13.2129032258065	26.4838709677419
HGDP00901		-118.177589016274	-93.0525059381406	1.81261330718194	-2.07033511265187	13.2129032258065	26.4838709677419
HGDP00902		-81.4065204176368	-57.0565010407861	11.94854199599	0.220370400702528	13.2129032258065	26.4838709677419
HGDP00903		-81.6849218984503	-82.3552840410029	4.11068703217612	-3.06698806986874	13.2129032258065	26.4838709677419
HGDP01062		19.1857547065276	17.5836611404707	8.28502517053471	-2.51131307829164	-7.78709677419355	-4.51612903225806
HGDP01063		39.163134310395	28.1689549233034	-1.56254725594369	-2.3304426291246	-7.78709677419355	-4.51612903225806
HGDP01064		8.91187434752902	4.68100847944064	5.22181610249664	-5.1006187351346	-7.78709677419355	-4.51612903225806
HGDP01065		34.2730674158355	25.7381594514999	-0.417999951879353	0.552779742982471	-7.78709677419355	-4.51612903225806
HGDP01066		17.5195340023769	16.3663351468256	2.62420543203496	-7.34230468760915	-7.78709677419355	-4.51612903225806
HGDP01067		10.0976238767729	14.6168838993552	2.35764633885202	0.36956921332216	-7.78709677419355	-4.51612903225806
HGDP01068		55.9532863214747	50.0700655155814	5.69722061638108	-0.866885391887003	-7.78709677419355	-4.51612903225806
HGDP01069		58.1826590393083	43.6084435509284	2.11074592393373	0.664335131318585	-7.78709677419355	-4.51612903225806
HGDP01070		29.225836957734	22.0563378878736	-8.97788266114798	-3.81594884111056	-7.78709677419355	-4.51612903225806
HGDP01071		46.7534716989524	39.9601992416607	4.68544651991284	-4.54682934243542	-7.78709677419355	-4.51612903225806
HGDP01072		49.8902323223291	43.5601455273751	5.44478272846242	-3.58108005124553	-7.78709677419355	-4.51612903225806
HGDP01073		1.93768364331683	-0.600319790496622	8.45393944891053	-4.97399083612307	-7.78709677419355	-4.51612903225806
HGDP01074		15.657372501734	0.492821376362558	11.1421972897454	3.42054688782722	-7.78709677419355	-4.51612903225806
HGDP01075		17.4390746624805	18.7429046691127	0.810818017183232	-3.82662050189487	-7.78709677419355	-4.51612903225806
HGDP01076		29.6484509639258	28.2537914730346	8.77160734165284	0.661855308965792	-7.78709677419355	-4.51612903225806
HGDP01077		28.6051600151445	23.8254539100711	11.39596963996	1.2807307454162	-7.78709677419355	-4.51612903225806
HGDP01078		39.9505557834187	21.7763721104385	-7.0885977928507	-9.97328851417556	-7.78709677419355	-4.51612903225806
HGDP01079		28.186246841876	30.8419087002685	8.74754002996311	-4.56510240063975	-7.78709677419355	-4.51612903225806
HGDP01149		37.075417860433	27.4217015712752	2.38949921168115	2.14159493810513	-1.78709677419355	-3.51612903225806
HGDP01151		25.043116786681	21.062632442063	0.637212032753564	-3.32754261911342	-1.78709677419355	-3.51612903225806
HGDP01152		12.6126102449227	1.39177915478965	-2.70645409540571	4.30254469319588	-1.78709677419355	-3.51612903225806
HGDP01153		25.8993518086653	20.8761156194429	-2.45748026114797	-1.3986960262192	-1.78709677419355	-3.51612903225806
HGDP01155		4.41964563058638	10.9513895232975	-8.21168363368223	-4.23464440947657	-1.78709677419355	-3.51612903225806
HGDP01156		21.5492517009896	25.1483278409307	2.73497400630544	1.77874282771235	-1.78709677419355	-3.51612903225806
HGDP01157		25.883050468827	27.3114745609885	-5.84035076114799	-0.696744649456393	-1.78709677419355	-3.51612903225806
HGDP01161		28.9360633234771	21.907537296972	0.989298565937706	-5.04468214504112	-4.78709677419355	-2.51612903225806
HGDP01162		18.7888604539307	-4.26606580214878	2.23322173885203	-0.0534268018948783	-4.78709677419355	-2.51612903225806
HGDP01163		6.05868567293694	11.3034974172749	7.26139263186758	2.1376450109012	-4.78709677419355	-2.51612903225806
HGDP01164		16.9030315012655	11.564233604893	-1.80215066449674	-5.04105895737743	-4.78709677419355	-2.51612903225806
HGDP01166		9.15295694780432	2.25888753288862	-8.01749212598465	1.46633638381941	-4.78709677419355	-2.51612903225806
